lld,label,entropy,length
erotv,0,2.321928094887362,5
oakley,0,2.584962500721156,6
longchamp,0,3.169925001442312,9
liveweb,0,2.521640636343318,7
nike-skor,0,2.94770277922009,9
cfeef,0,1.5219280948873621,5
psychology,0,2.9219280948873623,10
d4ak,0,2.0,4
www.coris,0,2.6416041678685933,9
anapa-alrosa,0,2.617492461184755,12
face,0,2.0,4
kobieta,0,2.807354922057604,7
www.revenue,0,2.5949066182439395,11
vr4nchb9ktq.c,0,3.5465935642949384,13
transport,0,2.725480556997868,9
www.sub,0,2.1280852788913944,7
adidas,0,1.9182958340544893,6
ics,0,1.584962500721156,3
tgp,0,1.584962500721156,3
canadagooses,0,2.855388542207534,12
securepubads.g,0,3.3787834934861767,14
jmp,0,1.584962500721156,3
publicapps,0,2.8464393446710154,10
uniyar,0,2.584962500721156,6
pandora,0,2.5216406363433186,7
pxl,0,1.584962500721156,3
hollister-abercrombie,0,3.5585186130489057,21
yiyuan,0,2.2516291673878226,6
wapask,0,2.2516291673878226,6
hgtvhome,0,2.75,8
pdt,0,1.584962500721156,3
www.michaelkorsfactory-outletonline,0,4.071581588126283,35
forestryandland,0,3.373557262275186,15
sr.gov,0,2.584962500721156,6
tambov,0,2.584962500721156,6
dogcat,0,2.584962500721156,6
hwb,0,1.584962500721156,3
win10,0,2.321928094887362,5
rsu,0,1.584962500721156,3
muzyka,0,2.584962500721156,6
uhren-shop,0,3.121928094887362,10
name,0,2.0,4
thomas-sabo,0,2.913977073182752,11
scrf,0,2.0,4
hubei,0,2.321928094887362,5
xin,0,1.584962500721156,3
hogas,0,2.321928094887362,5
svr,0,1.584962500721156,3
tables,0,2.584962500721156,6
istina,0,2.2516291673878226,6
zj,0,1.0,2
19,0,1.0,2
pansionat,0,2.725480556997868,9
wapask-mip,0,2.9219280948873623,10
polytechnic,0,3.277613436819116,11
adidasboost,0,2.7321588913645702,11
www.adidasboost,0,3.056564762130954,15
cf,0,1.0,2
anonim,0,2.2516291673878226,6
wz,0,1.0,2
royal-navy,0,2.9219280948873623,10
